documentID,products
2309,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
2310,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
2313,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
2320,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
2321,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
2322,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
2323,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
2325,['HP Indigo 7900 Digital Press']
2326,['HP Indigo 7900 Digital Press']
2329,['HP Indigo 7900 Digital Press']
2573,['HP Indigo 12000 Digital Press']
2574,['HP Indigo 12000 Digital Press']
2575,['HP Indigo 12000 Digital Press']
2576,['HP Indigo 12000 Digital Press']
2577,['HP Indigo 12000 Digital Press']
2578,['HP Indigo 12000 Digital Press']
2579,['HP Indigo 12000 Digital Press']
2580,['HP Indigo 12000 Digital Press']
2590,
2592,
2593,
2596,
2607,
2608,
2609,
3897,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ', 'HP PageWide Web Press T200', ' HP PageWide Web Press T230', ' HP PageWide Web Press T235', ' HP PageWide Web Press T240 HD', ' HP PageWide Web Press T260M', ' HP PageWide Web Press T260ML', ' HP PageWide Web Press T300', ' HP PageWide Web Press T300M', ' HP PageWide Web Press T350', ' HP PageWide Web Press T350M', ' HP PageWide Web Press T360', ' HP PageWide Web Press T360M', ' HP PageWide Web Press T400', ' HP PageWide Web Press T400M', ' HP PageWide Web Press T400S', ' HP PageWide Web Press T410', ' HP PageWide Web Press T410M', ' HP PageWide Web Press T470 HD', ' HP PageWide Web Press T480 HD', ' HP PageWide Web Press T490 HD', ' HP PageWide Web Press T490M HD', ' HP PageWide Web Press T1100S', ' HP PageWide Web Press T240M HD', ' HP PageWide Web Press T370 HD', ' HP PageWide Web Press T380 HD', ' HP PageWide Web Press T390 HD', ' HP PageWide Web Press T390M HD', ' HP PageWide Web Press T1170', ' HP PageWide Web Press T1190', ' HP PageWide Web Press T250 HD', ' HP PageWide Web Press T470S', ' HP PageWide A2200', ' HP PageWide Web Press T485', ' ']"
3921,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ', 'HP PageWide Web Press T200', ' HP PageWide Web Press T230', ' HP PageWide Web Press T235', ' HP PageWide Web Press T240 HD', ' HP PageWide Web Press T260M', ' HP PageWide Web Press T260ML', ' HP PageWide Web Press T300', ' HP PageWide Web Press T300M', ' HP PageWide Web Press T350', ' HP PageWide Web Press T350M', ' HP PageWide Web Press T360', ' HP PageWide Web Press T360M', ' HP PageWide Web Press T400', ' HP PageWide Web Press T400M', ' HP PageWide Web Press T400S', ' HP PageWide Web Press T410', ' HP PageWide Web Press T410M', ' HP PageWide Web Press T470 HD', ' HP PageWide Web Press T480 HD', ' HP PageWide Web Press T490 HD', ' HP PageWide Web Press T490M HD', ' HP PageWide Web Press T1100S', ' HP PageWide Web Press T240M HD', ' HP PageWide Web Press T370 HD', ' HP PageWide Web Press T380 HD', ' HP PageWide Web Press T390 HD', ' HP PageWide Web Press T390M HD', ' HP PageWide Web Press T1170', ' HP PageWide Web Press T1190', ' HP PageWide Web Press T250 HD', ' HP PageWide Web Press T470S', ' HP PageWide A2200', ' HP PageWide Web Press T485', ' ']"
4046,['7x00series']
4112,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
4115,['Production Pro']
4268,"['HP Indigo 10000 Digital Press', ' HP Indigo 10000HD Digital Press', ' HP Indigo 10r Digital Press', ' HP Indigo 12000 Digital Press', ' HP Indigo 12000HD Digital Press', ' HP Indigo WS6600 Digital Press', ' HP Indigo WS6600p Digital Press', ' HP Indigo WS6800p Digital Press', ' HP Indigo 6900 Digital Press', ' HP Indigo WS6800 Digital Press', ' HP Indigo 7600 Digital Press', ' HP Indigo 7800 Digital Press', ' HP Indigo 7000 Digital Press', ' HP Indigo 7500 Digital Press', ' HP Indigo 7r Digital Press', ' HP Indigo 20000 Digital Press', ' HP Indigo 8000 Digital Press', ' HP Indigo 30000 Digital Press', ' HP Indigo 5600 Digital Press', ' HP Indigo 5900 Digital Press', ' HP Indigo 5000 Digital Press', ' HP Indigo 3500 Digital Press', ' HP Indigo 3550 Digital Press', ' HP Indigo 3050 Digital Press', ' HP Indigo 3000 Digital Press', ' HP Indigo 100K Digital Press', ' HP Indigo 6K Digital Press', ' HP Indigo 7K Digital Press', ' HP Indigo 8K Digital Press', ' HP Indigo 35K Digital Press', ' HP Indigo 7900 Digital Press', ' HP Indigo 25K Digital Press', ' HP Indigo 15K Digital Press', ' HP Indigo WS6000p Digital Press', ' HP Indigo WS6000 Digital Press', ' HP Indigo 6r Digital Press', ' HP Indigo 6P Digital Press', ' HP Indigo 5r Digital Press', ' HP Indigo 5500 Digital Press', ' HP Indigo ws2000 Digital Press', ' HP Indigo s2000 Digital Press', ' HP Indigo ws4000 Digital Press ', ' HP Indigo ws4050 Digital Press', ' HP Indigo ws4500 Digital Press', ' HP Indigo WS4600 Digital Press', ' HP Indigo W7200 Digital Press', ' HP Indigo W7250 Digital Press', ' HP Indigo V12 Digital Press', ' HP Indigo 200K Digital Press', ' HP Indigo 120K Digital Press', ' HP Indigo 18K Digital Press', ' ']"
